批號,食材,產地,供應商,進貨日期
b-1000,紅蘿蔔,臺北市,大全農產,2026/4/6
b-1001,菇類,桃園市,益昌,2026/3/2
b-1002,雞蛋,桃園市,益昌,2026/4/6
B1003,醬油,臺中市,綠源,2026/5/4
BATCH1004,雞蛋,桃園市,益昌,2026/6/5
B1005,菇類,新竹縣,豐收行,2026/1/6
B1006,豆腐,新竹市,台農,2026/7/7
BATCH1007,食用油,臺北市,大全農產,2026/8/8
b-1008,白米,臺中市,綠源,2026/9/9
B1009,雞蛋,桃園市,益昌,2026/10/10
B1010,麵粉,新北市,海洋直送,2026/11/11
b-1011,蝦仁,臺中市,綠源,2026/12/12
b-1012,高麗菜,新竹市,台農,2026/4/6
BATCH1013,起司,桃園市,益昌,2026/2/14
b-1014,紅蘿蔔,苗栗縣,豐收行,2026/4/15
BATCH1015,食用油,臺中市,綠源,2026/4/16
BATCH1016,醬油,基隆市,長榮食材,2026/6/17
BATCH1017,醬油,彰化縣,豐收行,2026/1/18
BATCH1018,馬鈴薯,臺南市,鮮供應,2026/7/19
B1019,雞蛋,臺北市,大全農產,2026/8/20
B1020,紅蘿蔔,桃園市,益昌,2026/4/6
b-1021,紅蘿蔔,臺南市,鮮供應,2026/4/6
BATCH1022,洋蔥,桃園市,益昌,2026/6/23
B1023,起司,南投縣,豐收行,2026/4/6
B1024,起司,臺中市,綠源,2026/2/25
B1025,番茄,新竹市,台農,2026/2/26
b-1026,高麗菜,基隆市,長榮食材,2026/3/27
b-1027,醬油,新竹市,台農,2026/4/28
BATCH1028,砂糖,新竹市,台農,2026/6/1
B1029,豆腐,新北市,海洋直送,2026/6/2
B1030,紅蘿蔔,臺南市,鮮供應,2026/7/3
BATCH1031,雞胸肉,基隆市,長榮食材,2026/3/4
B1032,菇類,基隆市,長榮食材,2026/9/5
b-1033,鮭魚,桃園市,益昌,2026/10/6
BATCH1034,高麗菜,雲林縣,豐收行,2026/6/7
BATCH1035,菇類,嘉義縣,豐收行,2026/12/8
BATCH1036,鮭魚,屏東縣,豐收行,2026/1/9
B1037,蝦仁,桃園市,益昌,2026/2/10
b-1038,白米,嘉義市,日本全農,2026/4/11
BATCH1039,麵粉,高雄市,鮮供應,2026/5/12
BATCH1040,菇類,桃園市,益昌,2026/6/13
b-1041,豬絞肉,臺北市,大全農產,2026/6/14
BATCH1042,紅蘿蔔,桃園市,益昌,2026/4/6
B1043,馬鈴薯,宜蘭縣,豐收行,2026/4/6
b-1044,洋蔥,桃園市,益昌,2026/4/17
BATCH1045,食用油,高雄市,鮮供應,2026/4/6
B1046,高麗菜,嘉義市,日本全農,2026/4/6
B1047,起司,基隆市,長榮食材,2026/1/20
BATCH1048,洋蔥,臺中市,綠源,2026/4/6
BATCH1049,鮭魚,新北市,海洋直送,2026/3/22
B1050,菇類,高雄市,鮮供應,2026/4/6
B1051,洋蔥,臺中市,綠源,2026/4/24
b-1052,菇類,桃園市,益昌,2026/5/25
BATCH1053,食用油,高雄市,鮮供應,2026/1/26
BATCH1054,雞蛋,臺中市,綠源,2026/7/27
B1055,麵粉,臺北市,大全農產,2026/8/28
BATCH1056,雞胸肉,新竹市,台農,2026/4/6
b-1057,白米,高雄市,鮮供應,2026/5/2
b-1058,牛奶,基隆市,長榮食材,2026/11/3
B1059,豆腐,嘉義市,日本全農,2026/1/4
b-1060,馬鈴薯,花蓮縣,豐收行,2026/4/6
b-1061,砂糖,臺中市,綠源,2026/4/6
B1062,雞蛋,新北市,海洋直送,2026/3/7
B1063,番茄,基隆市,長榮食材,2026/4/8
b-1064,砂糖,新北市,海洋直送,2026/6/9
b-1065,洋蔥,臺東縣,豐收行,2026/4/6
B1066,麵粉,新竹市,台農,2026/2/11
B1067,番茄,桃園市,益昌,2026/8/12
b-1068,高麗菜,桃園市,益昌,2026/4/6
BATCH1069,馬鈴薯,臺北市,大全農產,2026/4/6
B1070,牛奶,澎湖縣,豐收行,2026/6/15
B1071,馬鈴薯,新竹市,台農,2026/4/6
BATCH1072,番茄,桃園市,益昌,2026/2/17
BATCH1073,牛奶,臺中市,綠源,2026/2/18
B1074,豬絞肉,新竹市,台農,2026/4/19
b-1075,麵粉,臺北市,大全農產,2026/4/20
b-1076,砂糖,高雄市,鮮供應,2026/5/21
B1077,蝦仁,金門縣,豐收行,2026/1/22
BATCH1078,牛奶,金門縣,豐收行,2026/7/23
b-1079,白米,新北市,海洋直送,2026/8/24
b-1080,豬絞肉,新北市,海洋直送,2026/4/6
b-1081,鮭魚,臺中市,綠源,2026/5/26
B1082,高麗菜,連江縣,豐收行,2026/11/27
b-1083,菇類,臺中市,綠源,2026/4/6
BATCH1084,麵粉,連江縣,豐收行,2026/1/1
b-1085,高麗菜,基隆市,長榮食材,2026/2/2
BATCH1086,白米,高雄市,鮮供應,2026/4/3
b-1087,雞蛋,桃園市,益昌,2026/5/4
BATCH1088,豆腐,臺中市,綠源,2026/5/5
b-1089,洋蔥,新北市,海洋直送,2026/1/6
BATCH1048,洋蔥,臺中市,綠源,2026/4/6
